user_id,event_date,event_name
1000,2025-02-20,view_product
1000,2025-03-19,add_to_cart
1000,2025-03-08,add_to_cart
1000,2025-03-14,view_product
1000,2025-02-03,view_product
1000,2025-03-05,view_product
1000,2025-03-22,view_product
1000,2025-03-01,add_to_cart
1000,2025-02-08,view_product
1000,2025-03-06,add_to_cart
1000,2025-03-16,add_to_cart
1000,2025-03-24,add_to_cart
1000,2025-02-16,add_to_cart
1001,2025-03-25,checkout_start
1001,2025-03-13,view_product
1001,2025-02-16,view_product
1001,2025-03-06,add_to_cart
1001,2025-02-05,view_product
1001,2025-03-12,add_to_cart
1001,2025-03-13,view_product
1001,2025-02-20,view_product
1001,2025-02-14,view_product
1001,2025-03-13,view_product
1001,2025-02-07,view_product
1001,2025-03-18,view_product
1001,2025-02-26,checkout_start
1002,2025-03-02,view_product
1002,2025-03-12,view_product
1002,2025-02-06,add_to_cart
1002,2025-02-17,checkout_start
1002,2025-03-13,add_to_cart
1002,2025-03-21,view_product
1002,2025-02-02,add_to_cart
1002,2025-03-03,view_product
1002,2025-02-14,view_product
1002,2025-03-10,view_product
1002,2025-03-26,view_product
1002,2025-02-02,view_product
1002,2025-03-02,view_product
1002,2025-03-03,add_to_cart
1003,2025-02-01,view_product
1003,2025-02-27,view_product
1003,2025-03-16,add_to_cart
1003,2025-03-06,view_product
1004,2025-03-12,add_to_cart
1004,2025-03-05,add_to_cart
1004,2025-03-09,checkout_start
1004,2025-03-05,add_to_cart
1004,2025-03-21,view_product
1005,2025-02-12,add_to_cart
1005,2025-03-07,add_to_cart
1005,2025-03-21,checkout_start
1005,2025-03-09,view_product
1006,2025-03-24,view_product
1006,2025-02-27,checkout_start
1006,2025-02-24,view_product
1006,2025-02-23,view_product
1006,2025-03-16,checkout_start
1007,2025-03-17,add_to_cart
1007,2025-02-27,add_to_cart
1007,2025-02-07,view_product
1008,2025-03-02,add_to_cart
1008,2025-02-03,add_to_cart
1008,2025-02-14,view_product
1008,2025-02-08,add_to_cart
1008,2025-03-19,add_to_cart
1008,2025-03-08,checkout_start
1008,2025-02-01,view_product
1008,2025-03-06,view_product
1008,2025-02-03,add_to_cart
1008,2025-03-20,view_product
1008,2025-03-04,add_to_cart
1008,2025-03-05,view_product
1008,2025-03-14,checkout_start
1009,2025-02-06,view_product
1009,2025-02-15,view_product
1009,2025-02-18,view_product
1009,2025-03-18,add_to_cart
1009,2025-02-23,view_product
1009,2025-02-19,checkout_start
1009,2025-03-02,view_product
1009,2025-03-10,view_product
1009,2025-02-12,checkout_start
1009,2025-03-02,view_product
1009,2025-03-27,view_product
1009,2025-03-25,add_to_cart
1009,2025-03-01,view_product
1010,2025-02-16,checkout_start
1010,2025-02-11,view_product
1010,2025-03-17,view_product
1010,2025-02-21,view_product
1010,2025-02-23,view_product
1010,2025-03-25,add_to_cart
1010,2025-03-16,add_to_cart
1011,2025-03-20,checkout_start
1011,2025-03-25,view_product
1011,2025-02-11,view_product
1012,2025-03-12,add_to_cart
1012,2025-02-17,view_product
1012,2025-03-01,add_to_cart
1013,2025-02-08,add_to_cart
1013,2025-03-07,add_to_cart
1013,2025-03-14,checkout_start
1013,2025-02-19,view_product
1013,2025-03-22,checkout_start
1013,2025-03-14,view_product
1014,2025-02-22,view_product
1014,2025-03-21,view_product
1014,2025-02-14,view_product
1015,2025-02-04,view_product
1015,2025-02-27,checkout_start
1015,2025-02-06,view_product
1015,2025-03-07,add_to_cart
1015,2025-02-21,view_product
1015,2025-03-07,view_product
1015,2025-03-19,view_product
1015,2025-03-10,view_product
1015,2025-03-06,view_product
1015,2025-03-06,view_product
1015,2025-03-08,view_product
1015,2025-03-27,view_product
1015,2025-03-11,view_product
1016,2025-03-25,view_product
1016,2025-03-16,view_product
1016,2025-02-17,view_product
1017,2025-03-08,view_product
1017,2025-03-15,view_product
1017,2025-02-27,view_product
1017,2025-03-09,checkout_start
1017,2025-02-18,view_product
1017,2025-03-26,view_product
1017,2025-03-18,checkout_start
1017,2025-02-09,view_product
1018,2025-03-26,checkout_start
1018,2025-03-03,checkout_start
1018,2025-03-11,view_product
1018,2025-02-02,view_product
1019,2025-03-01,view_product
1019,2025-03-02,checkout_start
1019,2025-02-14,checkout_start
1019,2025-03-26,view_product
1020,2025-02-22,view_product
1020,2025-03-23,view_product
1020,2025-03-09,view_product
1020,2025-03-25,add_to_cart
1020,2025-03-16,view_product
1021,2025-02-15,view_product
1021,2025-02-25,add_to_cart
1021,2025-03-24,checkout_start
1021,2025-03-26,add_to_cart
1021,2025-03-01,view_product
1021,2025-03-24,checkout_start
1022,2025-02-23,view_product
1022,2025-03-03,checkout_start
1022,2025-02-08,view_product
1022,2025-02-19,view_product
1022,2025-02-12,view_product
1023,2025-03-08,view_product
1023,2025-02-08,add_to_cart
1023,2025-03-08,view_product
1023,2025-02-26,view_product
1024,2025-02-24,add_to_cart
1024,2025-02-16,add_to_cart
1024,2025-03-20,checkout_start
1024,2025-02-10,view_product
1024,2025-02-19,view_product
1024,2025-02-26,checkout_start
1024,2025-02-25,view_product
1024,2025-03-25,view_product
